detector,num_keypoints,neighb_size_mean,neighb_size_var,image_num
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
AKAZE,166,7.72917,15.3807,0
AKAZE,157,7.4902,12.4226,1
AKAZE,161,7.45211,12.6221,2
AKAZE,155,7.57522,11.9644,3
AKAZE,163,7.73319,11.8184,4
AKAZE,164,7.68803,11.4138,5
AKAZE,173,7.73878,11.7812,6
AKAZE,175,7.82613,12.3183,7
AKAZE,177,7.81555,12.2047,8
AKAZE,179,7.88575,12.9699,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
SIFT,124,4.93926,36.2422,2
SIFT,138,4.71445,27.2999,3
SIFT,134,4.71959,30.3654,4
SIFT,140,4.68397,31.0978,5
SIFT,137,5.40798,42.428,6
SIFT,148,4.62187,26.4554,7
SIFT,159,5.51997,44.4893,8
SIFT,137,5.62509,44.6381,9
SIFT,138,4.98472,35.1615,0
SIFT,132,5.0898,38.1061,1
