detector,descriptor,detector_time,descriptor_time,num_matches,image_num
ORB,FREAK,6.94032,38.5063,113,3
ORB,FREAK,7.07608,39.8575,109,4
ORB,FREAK,7.39905,40.1861,125,5
ORB,FREAK,7.55785,40.7092,130,6
ORB,FREAK,7.33326,39.4147,129,7
ORB,FREAK,7.19101,39.6916,127,8
ORB,FREAK,7.32653,39.2527,128,9
ORB,AKAZE,8.54505,64.247,102,1
ORB,AKAZE,7.42411,62.8303,106,2
ORB,AKAZE,7.82703,63.4967,113,3
ORB,AKAZE,7.42266,63.7836,109,4
ORB,AKAZE,7.38387,52.9778,125,5
ORB,AKAZE,7.28371,56.0204,130,6
ORB,AKAZE,7.38806,59.101,129,7
ORB,AKAZE,8.19645,58.1456,127,8
ORB,AKAZE,7.51301,63.7883,128,9
ORB,SIFT,7.45337,42.5172,102,1
ORB,SIFT,7.47417,45.1967,106,2
ORB,SIFT,7.0252,46.6295,113,3
ORB,SIFT,7.1264,42.929,109,4
ORB,SIFT,7.48734,46.2544,125,5
ORB,SIFT,7.73281,50.8657,130,6
ORB,SIFT,7.52058,49.8521,129,7
ORB,SIFT,7.38916,51.4527,127,8
ORB,SIFT,7.42225,49.3862,128,9
AKAZE,BRISK,72.0594,1.95575,157,1
AKAZE,BRISK,74.1457,2.02759,161,2
AKAZE,BRISK,71.4094,1.97926,155,3
AKAZE,BRISK,65.1767,1.99165,163,4
AKAZE,BRISK,68.0612,2.07646,164,5
AKAZE,BRISK,71.6988,2.15342,173,6
AKAZE,BRISK,69.2284,2.07035,175,7
AKAZE,BRISK,66.8884,2.15141,177,8
AKAZE,BRISK,70.0995,2.19151,179,9
AKAZE,BRIEF,77.6651,1.09324,157,1
AKAZE,BRIEF,78.2834,1.19942,161,2
AKAZE,BRIEF,68.7264,1.07598,155,3
AKAZE,BRIEF,70.2727,1.05169,163,4
AKAZE,BRIEF,67.7717,1.07868,164,5
AKAZE,BRIEF,72.6491,1.30213,173,6
AKAZE,BRIEF,73.1562,1.20771,175,7
AKAZE,BRIEF,71.2808,1.17059,177,8
AKAZE,BRIEF,64.8385,1.14614,179,9
AKAZE,FREAK,75.669,41.3256,157,1
AKAZE,FREAK,80.9607,40.0924,161,2
AKAZE,FREAK,67.1239,40.5417,155,3
AKAZE,FREAK,69.1912,40.1108,163,4
AKAZE,FREAK,64.3028,40.5804,164,5
AKAZE,FREAK,71.049,40.0321,173,6
AKAZE,FREAK,77.5654,40.638,175,7
AKAZE,FREAK,67.2678,42.241,177,8
AKAZE,FREAK,71.5651,40.4768,179,9
AKAZE,AKAZE,76.1492,64.6701,157,1
AKAZE,AKAZE,74.7854,64.9728,161,2
AKAZE,AKAZE,67.2236,58.4958,155,3
AKAZE,AKAZE,65.3327,61.2234,163,4
AKAZE,AKAZE,63.8662,52.4513,164,5
AKAZE,AKAZE,64.3304,65.374,173,6
AKAZE,AKAZE,73.6729,66.3358,175,7
AKAZE,AKAZE,76.9963,62.64,177,8
AKAZE,AKAZE,75.4242,63.1331,179,9
AKAZE,SIFT,72.6087,23.3605,157,1
AKAZE,SIFT,70.3076,23.1579,161,2
AKAZE,SIFT,70.059,22.8802,155,3
AKAZE,SIFT,66.7518,25.0822,163,4
AKAZE,SIFT,71.0252,24.8896,164,5
AKAZE,SIFT,74.1756,23.3002,173,6
AKAZE,SIFT,68.0107,24.8811,175,7
AKAZE,SIFT,72.5142,24.3467,177,8
AKAZE,SIFT,66.6745,26.1283,179,9
SIFT,BRISK,125.632,1.57111,132,1
SIFT,BRISK,126.1,1.7587,124,2
SIFT,BRISK,126.914,1.66393,137,3
SIFT,BRISK,126.969,1.61696,134,4
SIFT,BRISK,122.2,1.79794,140,5
SIFT,BRISK,124.588,1.7026,137,6
SIFT,BRISK,128.371,1.91067,148,7
SIFT,BRISK,124.531,1.83167,159,8
SIFT,BRISK,121.587,1.51017,137,9
SIFT,BRIEF,125.711,0.948984,132,1
SIFT,BRIEF,125.45,1.25326,124,2
SIFT,BRIEF,122.207,1.07799,137,3
